Wavelength    Read Noise      Sky           Dark          A_Eff        BEF           Disp_Width    XDisp_Width
(Angstroms) (Cnt/Exposure) (Cnt/s/res)   (Cnt/s/res)      (cm^2)  (Erg/cm^2/s/res)   (N_resels)     (N_resels)
2007.8556         36.00      6.41e-10      1.39e-06     24209.2      5.68e-22         1.62         1.72
2007.9252         36.00      6.43e-10      1.39e-06     24227.4      5.68e-22         1.62         1.72
2007.9946         36.00      6.44e-10      1.39e-06     24245.6      5.67e-22         1.62         1.72
2008.0642         36.00      6.46e-10      1.39e-06     24264.0      5.67e-22         1.62         1.72
2008.1337         36.00      6.47e-10      1.39e-06     24282.3      5.66e-22         1.62         1.72
2008.2032         36.00      6.49e-10      1.39e-06     24300.7      5.66e-22         1.62         1.72
2008.2727         36.00      6.50e-10      1.39e-06     24319.0      5.66e-22         1.62         1.72
2008.3423         36.00      6.52e-10      1.39e-06     24337.4      5.65e-22         1.62         1.72
2008.4117         36.00      6.53e-10      1.39e-06     24355.7      5.65e-22         1.62         1.72
2008.4813         36.00      6.54e-10      1.39e-06     24374.1      5.64e-22         1.62         1.72
2008.5508         36.00      6.56e-10      1.39e-06     24392.5      5.64e-22         1.62         1.72
2008.6204         36.00      6.57e-10      1.39e-06     24410.8      5.63e-22         1.62         1.72
2008.6898         36.00      6.59e-10      1.39e-06     24429.2      5.63e-22         1.62         1.72
2008.7594         36.00      6.60e-10      1.39e-06     24447.6      5.62e-22         1.62         1.72
2008.8289         36.00      6.61e-10      1.39e-06     24465.9      5.62e-22         1.62         1.72
2008.8984         36.00      6.63e-10      1.39e-06     24484.3      5.62e-22         1.62         1.72
2008.9679         36.00      6.64e-10      1.39e-06     24502.6      5.61e-22         1.62         1.72
2009.0375         36.00      6.66e-10      1.39e-06     24521.1      5.61e-22         1.62         1.72
2009.1069         36.00      6.67e-10      1.39e-06     24539.6      5.60e-22         1.62         1.72
2009.1765         36.00      6.69e-10      1.39e-06     24558.1      5.60e-22         1.62         1.72
2009.2460         36.00      6.70e-10      1.39e-06     24576.6      5.59e-22         1.62         1.72
2009.3156         36.00      6.72e-10      1.39e-06     24595.1      5.59e-22         1.62         1.72
2009.3850         36.00      6.73e-10      1.39e-06     24613.6      5.58e-22         1.62         1.72
2009.4546         36.00      6.74e-10      1.39e-06     24632.2      5.58e-22         1.62         1.72
2009.5240         36.00      6.76e-10      1.39e-06     24650.7      5.58e-22         1.62         1.72
2009.5936         36.00      6.77e-10      1.39e-06     24669.2      5.57e-22         1.62         1.72
2009.6631         36.00      6.79e-10      1.39e-06     24687.7      5.57e-22         1.62         1.72
2009.7327         36.00      6.80e-10      1.39e-06     24706.2      5.56e-22         1.62         1.72
2009.8021         36.00      6.81e-10      1.39e-06     24724.7      5.56e-22         1.62         1.72
2009.8717         36.00      6.82e-10      1.39e-06     24743.2      5.55e-22         1.62         1.71
2009.9412         36.00      6.83e-10      1.39e-06     24761.7      5.55e-22         1.62         1.71
2010.0107         36.00      6.85e-10      1.39e-06     24780.3      5.55e-22         1.62         1.71
2010.0802         36.00      6.86e-10      1.39e-06     24798.8      5.54e-22         1.62         1.71
2010.1498         36.00      6.87e-10      1.39e-06     24817.3      5.54e-22         1.62         1.71
2010.2192         36.00      6.88e-10      1.39e-06     24835.8      5.53e-22         1.62         1.71
2010.2888         36.00      6.89e-10      1.39e-06     24854.3      5.53e-22         1.62         1.71
2010.3583         36.00      6.91e-10      1.39e-06     24872.8      5.52e-22         1.62         1.71
2010.4279         36.00      6.92e-10      1.39e-06     24891.3      5.52e-22         1.62         1.71
2010.4973         36.00      6.93e-10      1.39e-06     24909.8      5.52e-22         1.62         1.71
2010.5669         36.00      6.94e-10      1.39e-06     24928.3      5.51e-22         1.62         1.71
2010.6364         36.00      6.96e-10      1.39e-06     24946.8      5.51e-22         1.62         1.71
2010.7059         36.00      6.97e-10      1.39e-06     24965.3      5.50e-22         1.62         1.71
2010.7754         36.00      6.98e-10      1.39e-06     24983.8      5.50e-22         1.62         1.71
2010.8450         36.00      6.99e-10      1.39e-06     25002.3      5.49e-22         1.62         1.71
