Wavelength    Read Noise      Sky           Dark          A_Eff        BEF           Disp_Width    XDisp_Width
(Angstroms) (Cnt/Exposure) (Cnt/s/res)   (Cnt/s/res)      (cm^2)  (Erg/cm^2/s/res)   (N_resels)     (N_resels)
 925.1268          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.69         3.31
 925.1831          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.69         3.31
 925.2394          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.68         3.31
 925.2958          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.68         3.31
 925.3521          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.68         3.31
 925.4084          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.68         3.31
 925.4648          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.68         3.31
 925.5211          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.68         3.31
 925.5775          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.68         3.31
 925.6338          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.67         3.31
 925.6901          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.67         3.31
 925.7465          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.67         3.31
 925.8029          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.67         3.31
 925.8592          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.67         3.31
 925.9155          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.67         3.31
 925.9719          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.67         3.31
 926.0282          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.66         3.31
 926.0845          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.66         3.31
 926.1409          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.66         3.31
 926.1972          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.66         3.31
 926.2535          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.66         3.31
 926.3099          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.66         3.31
 926.3662          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.66         3.31
 926.4225          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.65         3.31
 926.4789          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.65         3.31
 926.5352          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.65         3.30
 926.5916          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.65         3.30
 926.6479          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.65         3.30
 926.7042          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.65         3.30
 926.7606          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.65         3.30
 926.8169          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.65         3.30
 926.8732          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.64         3.30
 926.9296          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.64         3.30
 926.9859          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.64         3.30
 927.0422          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.64         3.30
 927.0986          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.64         3.30
 927.1550          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.64         3.30
 927.2113          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.64         3.30
 927.2676          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.63         3.30
 927.3240          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.63         3.30
 927.3803          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.63         3.30
 927.4366          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.63         3.30
 927.4930          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.63         3.30
 927.5493          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.63         3.30
 927.6057          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.63         3.30
 927.6620          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.62         3.30
 927.7183          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.62         3.30
 927.7747          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.62         3.30
 927.8310          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.62         3.30
 927.8873          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.62         3.30
 927.9437          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.62         3.30
 928.0000          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.62         3.30
 928.0563          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.62         3.30
 928.1127          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.61         3.30
 928.1690          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.61         3.30
 928.2253          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.61         3.30
 928.2817          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.61         3.30
 928.3380          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.61         3.30
 928.3944          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.61         3.30
 928.4507          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.61         3.29
 928.5071          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.60         3.29
 928.5634          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.60         3.29
 928.6198          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.60         3.29
 928.6761          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.60         3.29
 928.7324          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.60         3.29
 928.7888          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.60         3.29
 928.8451          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.60         3.29
 928.9014          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.59         3.29
 928.9578          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.59         3.29
 929.0141          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.59         3.29
 929.0704          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.59         3.29
 929.1268          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.59         3.29
 929.1831          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.59         3.29
 929.2394          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.59         3.29
 929.2958          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.58         3.29
 929.3521          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.58         3.29
 929.4084          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.58         3.29
 929.4648          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.58         3.29
 929.5211          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.58         3.29
 929.5775          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.58         3.29
 929.6338          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.58         3.29
 929.6901          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.58         3.29
 929.7465          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.57         3.29
 929.8029          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.57         3.29
 929.8592          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.57         3.29
 929.9155          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.57         3.29
 929.9719          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.57         3.29
 930.0282          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.57         3.29
 930.0845          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.57         3.29
 930.1409          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.56         3.29
 930.1972          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.56         3.29
 930.2535          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.56         3.29
